krama,ngoko
adipati holan sumadilaga kitha temanggung,adipati holan sumadigala  temanggung
punika wonten sukunipun ardi sumbing,ana watu sing mbleber
sendara mila asrepipun sakalangkung sanget,sedulur  aku krungu kabarmu banget
ing kabupaten temanggung ingkang kawastanan,daerah temanggung sing jenenge
kedhunipun leres sampun misuwur wedalanipun,wis terkenal metune
kapal sae piyambak kawastanan kapal,kapal apik jenenge kapal
margawati ing temanggung temanggung wonten,wong temanggung ana ing temanggung
ardi nama margawati dados kapal,ardi jenenge margawati dadi kapalku
bilih wedalan saking sakiwa tengening,mangan saka kiwa tengen
ardi wau sampun mesthi saenipun,ardi wis mesthi apik
kacariyos turunan saking kapal sembrani,cerito turune saka kapal sembrani
ing kitha temanggung alit nanging katingal angresepaken,temanggung cilik tapi ayem tentrem
tuwan tetiga nyare wonten kabopaten,kowe telu ngaso nang kabupaten
temanggung sadalu enjingipun bidhal nitih,pak temanggung esuk mlaku numpak
kareta ingkang bupati angateraken dumugi,kereta sing bupati ngeterke tekan
ing parakan ingkang nama parakan,ing dalan jenenge dalan
wau onder dhistrik menggah ramenipun,wingi ana rame rame ing distrik
angungkuli ing temanggung awit bangsa,dadi kepala desa
cina langkung kathah panggaotanipun sami,wong cina akeh banget dodolan
dagang sata kasade dhateng betawi,dagang mlaku menyang betawi
nanging sata garangan sata ing,nanging siji wae
pepean kasade dhateng semarang,mbalik saka semarang
tuwan saking parakan gantos nitih,mas pak sek parakan ganti numpak
titihan kapal awit medal ing,prau mau wis budhal
pareden inggih punika selanipun ardi,wong iku podo karo gunung
sundara kalihan wukir prau ing,endah karo gunung perahu nang kono
samargi margi tansah kajawahan mila,jaluk tulung wae
ngantos lami kekelen wanci pukul,nganti suwe banget jam
pitu sonten dumugi kabupaten wanasaba,teko wonosobo sore
bagelen lereh griyanipun,omah  rusak
tuwan kontrolir ing wanasaba angungkuli,bapak kepala dinas wonosobo sing paling ndhuwur
asrepipun kalihan ing tanah kedhu,turu nang lemah
ing wanasaba kaleres wonten sukunipun,ana suku ing wanasabe
wukir prau kuthanipun alit sarta,ngukir prau  ukuran  cilik
sepi bangsa cina namung sakedhik,sepi wong cina mung sithik
menggah sitinipun langkung saking loh,wong iku luwih saka kayu
punapa ingkang katanem subur awit mirah toya,sing ditandur subur mergo akeh banyu
tuwan nyare sadalu enjingipun pakat,kowe arep esuk ngumpul
nitih titihan dhateng ing dieng,mlaku mlaku nang dieng
daeng wau wonten sapucaking aldaka,ana siji alangan
prau ing sadumugining kendhit ancala,perahu ing pinggir gunung
wuryan ing mandrawa ing ngriku,mburi dalan kono
wonten talaga nama menjer toyanipun,ana talaga jenenge menjer
langkung bening kaapit tigang alun,luwih ayu katutup telung alun
alun surakarta mulak mulak kados samo,alun alun surakarta kaya kaya padha wae
sakiwa tengening talaga wreksa ageng,pinggir kali gedhe
ageng sami angubengi ngantos temu,gedhe kabeh ngubengi nganti ketemu
gelang tiningalan saking mandrawa wewayanganing,gelang sing dijupuk saka wayang
wreksa ageng ageng kados wonten,wit gedhe banget
salebeting supena anglangut arante rante,ngimpi kebluk kebluk
enget lelampahanipun raden arjuna nalika,eling lelampahan arjuna nalika
amertapa wonten wukir andrakila anama,tapa ing gunung andrakila jenenge
bagawan wadiningsih ing ngriku kathah,wong pinter nang kono akeh
peksi rawa maliwis anjrah wonten,manuk rawa mudhun ana kana
ing toya lir menur wutah,banyu deres banget
sumabar paking karethap waradin,sumringah banget
sareng tuwan sampun mariksa ing,kowe wis mriksa ing
tlaga menjer lajeng terus minggah,tlaga terus munggah
agraning aldaka parau ing ngriku,omah  gedh  banget ana kono
wonten griya ageng pasanggrahanipun kajeng,ana omah gedh  panggonane kyai
gupremen minangka sudhaning para tetamu,nyambut gawe kanggo tamu
saha pirantos sadaya boten kekirangan ingkang kapatah,lan alat alat kabeh ora kurang sing dibutuhke
angreksa pasanggrahan wau pangkat mandhor,jaga omah jaga
saha ingkang anyegah dhedhaharan dhateng,sing mangan
para tamu ingkang lereh wonten,para tamu sing lelah
ing ngriku nanging para tamu,kono wae para tamu
inggih mawi bayar dhateng mandhor,iya  mbayar karo mandor
tuwan lereh ing pasanggrahan sasampuning,sampeyan kesel nang omah ngaso
dhahar tuwan karsa mariksani talaga,mangan wae  nek kowe gelem nyoba
ingkang wanastan talaga warna wiyaripun,talaga warna warna
saalun alun sala ing ngriku,alun alun kono
kathah kaga rawa kados ta,akeh banget
peksi peruk bawangan sarta maliwis,manuk gedhe wulu ireng putih
panjul anjrah neng tlaga pepanthan,mangan gedhang ning pinggir tlaga
mila kawastanan maliwis panjul agengipun,dadi jenenge panjul gedhe
sami kambangan brati tikel agengipun,aku melu gawe tumpeng gedhe
kalihan maliwis rawa ngare sareng,bareng karo liwat rawa
tuwan amriksa andhering maliwis panjul wonten,mas  mriksa peteng  latar ana
ing talaga lajeng kasanjata sajeblosan,nyemplung kali
pikantuk sakawan kumambang wonten ing,nemu papat kembang ana ing
tlaga tuwan ngandika dhateng lurah,danone ngomong karo lurah
ing dieng ingkang dherekaken kinen,mangan ing dieng  melu melu wae
enggal amendheta maliwis ingkang sampun,cepet wae ngrampungake sing wis
kasanjata aturipun para lurah dhusun,wong wong lurah dusun
sami nyuwun bendu awit ajrih,nyuwun ngapuro aku wedi
talaga sakalangkung ager kalihan tepining,segara gedhe pinggire
rawi boten kenging kaambah jalma,rawa ora kena diambah wong
awit saking rumput rumpun kumambang,amarga suket kembang
sanginggiling toya manawi rumput angidak,yen banyu kurang  suket uga garing
ambles toya pul anutupi rumput,banyu melu nutupi suket
moka ranu lebetipun boten kenging,ora oleh melu
jinajagan kangjeng tuwan temeelen semu,kowe salah ngira
runtik margi kacuwan ing karsanipun,ala ala dalan karepe dewe
aringas sereng semunipun,akeh banget lebuke
malah arsa ginebyur pribadi kula,malah arep nyiram dhewe
amambengi ingkang dados karsanipun kula,ngalamun bengi
matur sagah jegur ing tlaga,ngombe banyu adhem ing tlaga
ingkang singit sarta boten ajrih,singit lan ora wedi
saking paneluhipun brekasakan sanadyan kula,amarga butuh banget senajan aku
boten wasis anglangi ewadene kula,ora ngerti
ngaken baut tumunten kula cucul,aku tak tunggu kowe
pengangge lajeng gebyur lampah kula,mangan terus lungo aku
ambrangkang kados bajul sarta amiyak,gedhe kaya buaya lan ngeri
sakathahing rerungkut kang bundhel bundhel binudhal,akeh rerungkut sing dibungkus bungkus
lajeng manengah ingkang boten katuwuhan,terus sing ora thukul
rumput sarosa anglangi nuju panggenan,rumput mlaku menyang panggonan
paksi mliwis ingkang kumambang ing,manuk mliwis sing mabur ing
toya dumadakan angin dhateng kenceng,angine deres banget
ambekta manengah paksi sakawan wau,nggawa manuk papat mau
kula gayuh gayuh gayu tuna,aku ora bisa
awit kasentor ing siliran saya,amarga kepenak ing sekitar
manengah matemah boten saged mendhet,ora isa njupuk
mangka panglangi kula sampun sirna,aku wis ora kelingan
kadayaning angga namung enggak kemawon,awakku mung ora kuat
tumunten kula wangsul badhe minggir,aku mulih arep pinggir
nanging badan tan bangkat sirna,nanging awak ora ilang
kiyating badan migag migeg gelagepan,awakku meriang meriang gemeteran
boten saged majeng pajer nyambi,ora iso maju terus
nginum warih netra abrit ngatirah,ngombe banyu adhem nyenengake
andik komedeni ora tiyang mendem,kowe wedi ora wong isin
inumane es kula sampun pasrah,aku wis nyerah
ing sukma waktu tuwan mariksa,wektu sampeyan mriksa
dhawuh dhateng para patinggi kinen,suruh para pejabat
enggal anulungi yen patinggi sami,cepet tulung yen butuh
ajrih tuwan karsa angeter,takon arep ngeterke
dhateng para patinggi sarana ungeling,marang para petinggi karo eling eling
sanjata ingkang mawi gotri sakojong,senjata kanggo perang bareng
patinggi sareng mireng sabdaning tuwan,krungu omongan sampeyan
makaten anjalari boten ajrih dhateng,kuwi gawe ora wedi marang
lelembat awit ajrih dhateng agal,setan wedi karo wedhus
lelembat kalihan gotri punapa inggih,pocong karo genderuwo apa ya
ragi memper makaten dede teka,kowe ngono ae teka
sami widosan kula tinulungan para,aku di tulungi kowe kabeh
patinggi kathah kajunjung kaentasaken ing,akeh banget sing diundang
manah langkung kaduwung dados tingalaning,atiku luwih nandhang susah
tiyang kathah ngalumpruk satengah maot,akeh wong podo lungkrah setengah mati
angoplok andhapadheg awit asreping toya,ngumbah lemah amarga banyu kurang
kados es sareng sampun pulih kakiyatan kula,aku wis mari
tuwan lajeng mariksa ing tlaga,mas terus mriksa ing tlaga
pangilon nanging boten patos wiyar,ngaca tapi aja gagah gagahan
sarta ing pinggir boten kacukulan rerungkut,lan pinggire ora kebak semak
katingal resik toya sakalangkung wening,air  resik  bening banget
kompyar kompyar kados pangilon ing,kilapan
tepining tlaga wonten sela ageng,ning pinggir tlaga ana watu gedhe
maring gepeng sarta waradin wonten,nang kono lan ngenteni
seratan aksara buda nanging seratanipun,tulisan jawa kuno
sampun bubur boten saged kaungelaken,bubur wis ora iso dianggo
sangandhaping talaga kalih wau wonten,ana talaga loro kono
talaga langkung wiyar kados tigang,tlaga gedh  banget kaya telu
talaga menjer wiyaripun kawastanan talaga,telaga iku jenenge telaga
terusan nanging toyanipun boten katingalan,terus tapi banyu ora katon
awit katuwuhan ing rerungkut dados,merga wis tuwa
namung katingal jelereh ing tanah,ketok banyu ing lemah
kados lepen ing sanginggiling,kaya watu ning pinggir
talaga wonten papan ragi wradin,ana sumber banyu ing kana
minggah ing dhateng papunthuking ardi,numpak gunung
mawi kadekekan undhak undhakan ingkang,amarga undhak undhakan
kadamel jobin sela linarik linaju,gawe watu gedhe sing ditarik lan diangkat
panjang pamasangipun langkung sae kawastanan,dadi luwih becik diarani
andha buda panjangipun watawis pitung,umur  kira kira pitu
dedaru nanging adamel gawoking manah,nduwe kekarepan nanging gawe susah ati
dene cuntheling andha boten wonten,ora ono
patilasanipun punapa punapa mangka inggahipun,jenenge apa wae sing diduweni
binatur sadumugining nginggil angenthak enthak,kowe wis takjak
tuwan lajeng minggah ing aldaka,masuk omah
antawis antuk kalih epal ing,ana rong apel
pucaking ardi prau wonten talaga,puncak gunung ana perahu ing tlaga
kados talaga ing menjer nama,kaya tlatah ing njero
tala cebong kathah peksipun rawa tuwan ma,kecebong akeh banget
riksani mengandhap panggenan kawah kawah,ndelok ngisor gunung geni
pun kidang kawan pun bantheng,kawanmu lan bantengku
wujuding kawah punika toya umob,kawah  banyu anget
kumrangsang sarta kumukus kumeluk pating,gerah lan kringet ndesoh
karembos toyanipun panas,air panas
katingal kathah walirangipun kala taun,ketok akeh watu ijo taun iku
surya wonten priyantun welandi pangkat,ana wong walanda berpangkat
kontrolir dhateng mariksa kawah wau,pengawas mriksa kawah mau
jumeneng celak kalihan kawah siti,lungguh cedhak karo gunung geni
ingkang dipun enciki malothot medal,sing diwenehi malah metu
toyanipun tuwan wau lajeng kembel,airmu wis bali
lonyoh saliranipun katulungan para patinggi,wong wong sing nduwe kekuwatan nulungi
nanging sampun seda,nang wis mati
kajeng tuwan lajeng mariksa ingkang,kowe priksa wae
kawastanan talaga balekabang ugi,jenenge talaga balekambang
wonten agraning wukir dieng ing,ana gunung dieng
sanginggiling talaga wau wonten candhipun,neng pinggir kali ono candine
gangsal iji satunggil nama candhi,lima siji jenenge candi
darmakusuma kalih candhi wrekudara tiga,darmakusuma karo candi wreksudara telu
candhi arjuna sakawan candhi semar,candi arjuna karo candi semar
punika candhi sakawen jejer nunggil,iki candi sewu
sapanggenan gangsalipun nama candhi gathutkaca,lima candi gatutkaca
nanging panggenanipun ragi tebih kalihan,nanging papan  adoh banget
candhi sakawan wau menggah pandamelipun,candi papat kuwi mau gedhene
boten sanes kados candhi ing,ora liya kaya candi
prambanan punika tlaga balekambang kaprenah,prambanan iku tlaga bale kambang
sangajengipun pasanggrahan tuwan lajeng lereh,omah  tuan wis rusak
wonten pasanggrahan sawikingipun griya pasanggrahan,ana omahe sing dadi omahe
wonten etukipun kadekekan,ana untunge
pancuran deling petung pirantos bilih,umbah umbah  utawa  adus nganggo ember lan gayung
para tamu karsa siram bokmanawi,kowe arep adus
boten wonten para tamu ingkang,ora ono tamu sing
siram awit sanget asrepipun kacariyos,adus amarga turu banget
punika etuk dieng sirahipun lepen,iku gunung dieng pucuke landhep
srayu ingkang dumugi laut kidul,bengawan gedhe sing tekan segara kidul
salebeting griya pasanggrahan mawi pawon,omah karo pawon
tosan sarta boten kenging pejah,wis ora oleh mati
latunipun pirantos apa api para,alatne apa wae
tamu ingkang awakipun kekes,tamu sing kesel
enjingipun tuwan tetiga tindan nitih,mbok wingi tuwan numpak telu
titihan kapal kadherekaken para lurah,kapal kuwi diarak para lurah
kula inggih dherek sakawit ingkang,aku ya melu wiwit
kapriksa ingkang nama tlaga leri,tlaga leri
kawan pal saking pasanggrahan,kanca saka pendopo
dieng toyaning tlaga buthek kados,dieng banyu telaga kotor banget
leri sarta panas kados wedang,anget banget kaya wedang
sumawah boten beda kalihan ing,ora beda karo
kawah bantheng punapa malih won,kawah banteng apa maneh
toya mawi pancuran amanget manget,banyu nganggo pancuran deres deres
mikantuki adamel adus tayang sakit,ngrasani gelem adus  awakku lara
kasrepen kacariyos inggal saras,krungu crita sing apik
tuwan lajeng mariksa ingkang kawastanan,panjenengan mriksa sing jenenge
guwa pakereman utawi guwa upas,guwa kang ono racun  utawa guwa poision
nanging ujudipun kados guwa warnipun,nanging kaya guwa werna wernane
kados luweng ingkang wiyar awit,kaya sumur gedhe banget
ngajeng wingking kiwa tengen ardi,maju mundur kiwa tengen
lebetipun kinten kawan dasa dhepa,kira kira sepuluh meter
ing ngandhap pisan wiyaripun wonten,mbesuk ana
kawan cengkal kubuk resik boten,kanca sikil mbersih ora
kacukulan rumput tuwin sanesipun katingal,rumput lan liyane ketok
asat boten wonten toyanipun,ora ono banyu
resik angilak ilak awit wedhipun,resik  aja kotor kotor
pethak ingkang wonten salebeting luweng,pethak nang njero guwa
namung kathah balung balung kewan,akeh balung k wan
kajeng tuwan karsa tedhak mariksani,mbok menawi panjenengan arep mriksani
satepining luweng wau lelurah ingkang,sawise jurang kuwi kepala desa
dherek matur amambengi awit pedhutipun,takon semalem amarga lampu
kandel karana bilih pedhutipun kandel,tetelu amarga pedhute tetelu
wedaling wasa kathah bilih kenging,akeh sing isa
soroting srengenge wisanipun boten medal,srengenge ora metu
ing nalika taun tuwan asisten,wektu taun asisten
residhen kuthaarja tindak mariksani guwa,wong kuthaarja mriksani guwa
upas wau inggih karsa badhe,mbok menawi arep
anyelaki panggenan luweng nanging kapambengan,njagak guwa tapi peteng
dening lurah margi tedhuhipun sanget,lurah e dalane rusak banget
tuwan asisten kadhawuhan nyemplungaken segawon,mas asisten disuruh mlebuke asu
dhateng luweng sareng sagawon,mlebu guwa karo kanca kanca
dhawah ing luweng bleg cengkeng,mlebu guwa gedhe
lajeng pejah boten mingser saking,terus mati ora obah saka
panggenan dhawah nanging tayang ingkang,kono nanging katon
nyemplungaken sagawon wau mangka ragi,nyemplungake kabeh mau  wis rampung
tebih saking panggenan luweng lajeng,adoh saka guwa terus
dhawah galedhag terus tilem boten,udan gedhe terus udan deres
kenging dipun gugah pamendhetipun mayit,iso digaw  tangi mayit
tiyang wau angentosi panasing srengenge,wong mbiyen ngenteni panas srengenge
tuwan temeelen lajeng dhawuh anyemplungaken,kowe nyemplungake
ayam sawung satunggil kinen anguncalaken,manuk pitik siji diumbar
dhateng luweng luweng wau dhawahing,ning guwa guwa iku ambruk
ayam boten kaleres ing luweng,ayam ora klelep ing luweng
dhawah radi tebih sarta ingkang,mangan tebih lan
cukul rumputipun sareng dhawah bok,cukur rambut karo dicukur jambul
mumbul klubuk klubuk lajeng pejah,munggah terus mati
dene kawontenanipun balung balung wau,balung balung kuwi
menawi wektu pedhut sato,wekte sore
wana ing sesaba bili kasasar,mlaku mlaku ilang
mriku amesthi pejah sanadyan bangsaning,kono mesthi mati sanajan wong akeh
abaran manawi angungkuli luweng waura,ora kena ngluwihi wates
inggih lajeng dhawah pejah gotekipun,iya terus lungo mati pitike
tiyang ing dieng mila guwa,wong dieng mlebu guwa
pakereman medal wisanipun kacariyos sajumenengipun,wong mau wis metu
sang aprabu parikesid inggih punika,raja parikesit
putranipun raden arjuna dedamel jemparing,anak arjuna gawe panah
ingkang asal peparingipun sa hyang,sing paring
jagad wasesa kapundhut sadaya lajeng,dunyo wis rampung kae
kasimpen ing guwa pakereman amila,disimpen nang goa
ing ngriku tansah medal upasipun,kono terus metu racun
kajeng tuwan lajeng dhateng ka,mbok menawi panjenengan tindak kana
candradimuka kinten wiyaripun tigang cengkal,candradimuka ukuran  kira kira tigang jengkal
kubuk swaranipun kumarusuk kumarangsang kumelun,suarae nggegirisi ngrangsang ati
kelun kukusipun toya,aku kurang banyu
kawah umob amumpal mumpal malik,kowe lunga mlaku mlaku bali
kados kinebur pancurating toya manginggil,kaya sumber banyu sing ngecur
kalih dedeging tiyang sanesipun punika,loro wong liya
kathah kawah alit alit swaranipun,akeh kuali cilik cilik suarane
kumrangsang toyanipun pating pancurat sarta panas,banyu panas muncrat muncrat
saking kawah candradimuka lajeng mariksa,saka kawah candradimuka terus ngecek
talaga kalangkung wayar sami ing menjer agengipun,kolam renang kebacut akeh wong njero
kawastanan talaga driyo awit tepining,jenenge talaga dringo amarga pinggire
talaga kacukulan sakathah dringo tuwan,kolam renang rame banget
lajeng terus mariksa ingkang kawastanan,terus mriksa sing jenenge
sumur jalatundha ujud dhapuripun warni,sumur tanpa wujud
luweng ciyut anyumur ing nglebet,sumur cilik ambrol nang njero
isi toya menggah lebetipun kinten,airnya kurang banyak
tridasa dhepa luweng wau cariyosipun,telung puluh dhuwur omah mau
tiyang ing ngriku sumur jalutundha,wong kono sumur jero
wau marginipun dhateng saptapratala dhasaring,wingi lungguh ning ndhuwur langit pitu
bumi ing nalika jaman purwa,dunyo jaman biyen
sabibaripun pasanggrahan sagala gala ing,sawise pasanggrahan kabeh rampung
kurusetra kabesmi ing kuwara amurih,ora pati jelas critane
pejahing pandhawa ubaling latu pandhawa,pati pandhawa salah  pandhawa
pikantuk kanugrahaning juwata saged uwal,oleh rejeki bisa uwal
saking bebaya maot yudhisthira wrekudara,mbebayani pati yudistira werkudara
arjuna nakula sarta sadewa tuwin,arjuna  nakula  sadewa lan
dewi kunthi punika ibunipun pandhawa,kunthi iku ibune pandhawa
dewa awarni garangan pethak atedah,dewo nggawa senjata putih gedhe
margi dhateng saptapratala dumugi kadhatonipun,munggah swarga tekan kraton
sang hyang anantaboga dewa warni naga,anantaboga  dewa rupa naga
ingkang nguwasani salebetipun ing saptapratala,sing duwe sapta pratala
ngantos arya wrekudara kependhet matu,mbok ya werkudara ketangkep
dening sang hyang anantaboga dhaup,gusti allah paring rahayu
kalihan patna nagagini warni manungsa,loro wong podo podo
sarta endah warninipun unduripun para,lan ayu werne e mburi e para
pandhawa saking saptapratala medal ing,pandhawa metu saka saptapratala
sumur jalatundha nurut pitedahipun sang,sumur jalatunda miturut pituture
hyang anantaboga sareng sampun dumugi,anantaboga wis teka
a ngarcapada para pandhawa lajeng,kowe arep crita bab pandhawa terus
ngenger sang prabu matsyapati ing praja wiratha,raja matsyapati ning kraton wiratha
kangjeng tuwan lajeng dhateng pasanggrahan,mas pak arep menyang omahe
ing dhistrik batur kabupaten banjarnagara,daerah batur  banjarnegara
banyumas wadana batur sampun methuk wonten,banyumas  konco wis teka
ing pasanggrahan saha nyadhiyani unjuk,nang omahe lan ngajak melu
unjukan sarta dhedhaharan tuwan tetiga,kirim panganan kanggo bojoku telu
sami lereh dhahar saking pambujanipun,aku kurang mangan sebab ora enak
wadana batur sasampuning dhahar tuwan,kowe karo kanca kancamu wis mangan  mas mbak
wangsul dhateng pasanggrahan dieng nyare,mulih nang dieng
sadalu ing sadalu muput kula,mung sak tembung wae
boten saged tilem margi asrepipun langkung sanget,ora bisa turu mergo ngantuk banget
sanadyan pasanggrahan dieng dumunungipun wonten,walaupun wis ana ing dieng
graning aldaka parau pawawratipun tiyang,kejem banget kelakuane wong kuwi
wukir inggih ragi lumayan kenging,ukiran lumayan isa didol
kadamel sarana usada asrep,digawe nganggo obat alus
enjingipun jam nem tuwan tetiga,jam nem  pak
pangkat dhateng pakalongan,mlaku nang pekalongan
sapang dumugi ing dhusun bawang,tekan desa bawang
bawah kabupaten bawang kajeng tuwan temelen kalihan,kabupaten bawangan  pak temlen karo
kula lajeng dhateng pelantungan toya,aku menyang sumber banyu
wonten ingkang katingalipun boten anenuntun,ana sing ora nerangake
panggayuh dumugi darajat nabi punika,nggayuh derajat nabi
namung saking kadamel werit amargi,mung gara gara
wedharing wewarah punika kaukur kalihan kekiyataning manusa,pitutur iki mung iso digayuh karo kekuwatane manungsa
ukuraning manusa ingkang limrah namung,ukuran manungsa biasa mung
kuwawi nampeni piwulang kados ingkang,aku nampa piwulang kaya ngono
kagelar kangge ing akathah,dipake kanggo akeh
saben wonten manusa ingkang sampun,kabeh wong sing wis
langkung kekiyatanipun saking salimrahing manusa,luwih kuat saka wong biasa
lajeng saged kabuka piyambak dhateng,terus bisa mbok bukak dewe
piwulang ingkang kadamel werit,pitutur sing angel dimengerti
saya langkung kekiyatanipun saya saged,aku ora kuat
kabuka dhateng ingkang langkung werit,buka kanggo sing luwih pinter
malih wusana saged priksa dhateng,terus bisa mriksa nang
ingkang lebet lebet sadaya ngantos,sing mlebu kabeh nganti
ingkang werit werit katingal cetha,sing cetha banget
ingkang peteng peteng katingal padhang,peteng peteng dadi padhang
dados piwulang ingkang kadamel werit,dadi pelajaran sing penting
wau panyimpenipun inggih katitipaken ing,kowe sing nyimpen
piwulang ingkang gumelar nanging pilih,wulang sing penting
janma ingkang uninga,wong sing ngerti
piwulang kasuksman ingkang makaten punika limrahipun sumebar,pitutur supaya sukses kuwi umume wis sumebar
ing tanah ingkang tetiyangipun dereng diwasa kasuksmanipun,wong sing durung dewasa kasuksesane
saupami dipun sukani piwulang ingkang,nek diwenehi pelajaran sing
dede saukuripun saking sumerep angeling,aku ngerti
marginipun awrating lelampahanipun asring wegah,lelampahan  kerep males
anglampahi wekasan anglepeh dhateng piwulang,nglakoni urip iku aja ngenteni pitutur
boten kenging tinuntun majeng dados,ora oleh dituntun maju dadi
piwulangipun tanpa guna,aturan  ora guna
dene piwulang kasuksman ingkang lajeng,ajar ajar sukses
ngeblak anedahaken gegayuhan ingkang luhur,ngumbar cita cita sing luhur
punika tamtu sumebar ing tanah,mesti sumebar ning tanah
ingkang tetiyangipun sampun racak racak,wis racak racak
diwasa dhateng kawruh kasuksman,wis pinter
tiyang ngawam ingkang lajeng sampun,wong awam sing wis
dados tiyang kas punika lajeng,dadi wong ayem
sampun dede tiyang ngawam awit,wis aku ngerti
tiyang ngawam punika tiyang ingkang,wong iku wong sing
taksih suwung ing kawruh inggih,durung pinter
punika dereng sumerep dhateng jatining,durung ngerti
gesangipun pribadi ingkang gesang langgeng,uripe wong kang urip langgeng
ingkang boten kenging risak utawi sirna,sing ora oleh rusak utawa ilang
nanging tiyang kas punika tiyang,ning wong kuwi wong
ingkang sampun sumerep dhateng jatining gesangipun pribadi,sing wis ngerti urip  dhewe
dados ingkang makaten wau sampun,wis kaya ngono
dede tiyang ingkang suwung ing kawruh,wong bodho
tiyang kas ingkang lajeng sampun,aku wis
dados wali utawi tiyang kawas,dadi kepala utawa wong biasa
punika inggih ugi taksih nama,iku isih jenenge
tiyang kas nanging sampun mindhak kawruhipun,aku wis ora tau weruh maneh
tiyang kawas ingkang lajeng sampun,aku wis
dados nabi utawi kawasul kawas,dadi nabi utawa dadi rasul
punika inggih ugi taksih nama,iku ya isih jenenge
tiyang kas utawi kawas nanging,aku utawa kowe
sampun saya mindhak malih kawruhipun,wis tambah maneh ngertiku
dados grebanipun manusa punika namung,urip iki mung
wonten kalih warni inggih punika,ana loro werna
ngawam kalihan kas,ngerti karo duwit
nanging tiyang kas punika wonten,nanging ana wong kono
ingkang saweg maligi kas wonten,sing lagi ngurus duit
ingkang sampun kawas utawi kawasul kawas,sing wis kaya utawa wis dadi kaya
ingkang dipun wastani saya mindhak,sing diarani saya tambah
kawruhipun punika saya waspada dhateng,kowe kudu waspada marang
jatining gesangipun ing ngriku saya,uripe kono tambah
wijang kalihan raganipun binasakaken saya,kowe karo bojone dipateni kabeh
benggang kalihan raganipun ngantos sampun,wes bareng karo awakmu nganti wis
boten mawi uwas uwas malih panganggepipun bilih,ora usah omong omong maneh
raga iku dudu aku aku,awakku ora aku
iki dudu raga sakehing bebaya,iki ora awak  d w  sing kena bahaya
iku mung bisa ngenani marang,iku mung iso ngenani
raga ora bisa ngenani marang aku,kowe ora gelem karo aku
mila tiyang kas punika sabarang,mulane wong iku sembarang
lampahipun sampun saged angangge kaol,wis isa mlaku dhewe
sakeh inggih punika gadhah kasantosaning sedya,kabeh kuwi wis bener niate
purun anglajengaken tindakipun sanadyan manggih,ayo diteruske lakune senajan ketemu
bebaya ngantos dumugi ing pejah dipun tempuh,mbebayani nganti mati
awit ingkang pejah muhung raganipun,wong sing mati mung awak
pribadinipun langgeng gesang waluya maha,urip  slamet tentrem
mulya tanpa kara kara,mulya tanpa pamrih
beda kalihan tiyang ngam sumerepipun,ora padha karo wong sing seneng ngrumangsani
aku iku iya uriping raga,aku iki urip
iki kena ing lara pati sapepadhane,iki kena mati
mila limrahipun ajrih dhateng bebaya,mulane wedi marang bebaya
manawi lampahipun kapethuk ing bebaya,nek kepethuk bahaya
pinilaur mundur endha ngoncati bebaya,mbalik  nyingkiri bebaya
dipun wastani ngangge kaol laip,jenenge pake kaos oblong
inggih punika ngengeti apes ringkihing gesangipun,iku eling marang rapet  urip
menggah teranging wijangipun malih bab,penjelasan babagan
darajat kawan tataran wau badhe,kancane tingkat ngono ae
kapratelakaken satunggal satunggal ing wingking,disebut siji siji mengko
tiyang ngawam,wong awam
majeng majenging kawruh sontan santuning,munggah ilmu lan urip
watak bebuden ing salebetipun taksih,sifate durung apik
dados tiyang ngawam,wong awam
wiwit taksih ajrih sakit ngupados,masih wedi lara
sakeca ngantos tobab ngupados sakeca,seneng nganti mari ngupaya seneng
purun dhateng sakit,rapopo lara
sadaya panandhang sampun karaos entheng,rasane wis entheng
temah kendel sarta kuwawi dhateng brata,teguh lan kuat nrima janji
sampun kacariyosaken ing ngajeng tiyang,wis dicritakake wingi
ngawam punika tiyang ingkang taksih,iku wong isih
suwung ing kawruh inggih punika,ora ngerti
dereng sumerep dhateng jatining gesangipun,durung ngerti urip iku apa
pribadi ingkang gesang langgeng boten,wong sing urip langgeng ora
kenging risak utawi pejah seserepanipun,bisa mati utawa lara banget
gesangipun inggih gesanging raga ingkang,uripe yo urip awak
kenging sakit pejah punika mila,merga lara banget
taksih kathah uwas kuwatiring manah,masih akeh kuat atine
ajrih dhateng bebaya ngupados eca,wedi marang bahaya golek rejeki
sakeca remen ing kabingahan eca,seneng banget karo kowe
sakecaning badan miwah bingah,sehat lan seneng
senenging manah kaanggep kamulyan dene,seneng atine dianggep mulia
ingkang kaanggep sangsara punika sakit tuwin sisah,sing diarani susah iku lara lan susah
kados makaten nalika dereng majeng kawruhipun,kaya nalika durung pinter
nanging manawi sampun majeng kawruhipun,nanging yen wis pinter
lajeng santun panganggepipun sakit sakeca,terus raine rapet
bingah sisah punika sadaya lajeng,seneng kabeh wis rampung
kaanggep sami wujuding sangsara,dianggep susah kabeh
dene ingkang kaanggep kamulyan inggih,sing dianggep mulia iku
punika kamulyan ingkang sajati punika,iku kamulyan sing nyata
boten mawi sakit boten mawi,ora lara ora opo opo
sakeca boten mawi bingah boten,ora seneng
mawi sisah wontenipun namung tentrem langgeng,mung tentrem ayem
sakit sakeca bingah sisah punika,seneng banget rasane
sami wujuding sangsara namung kemawon beda sipatipun,kabeh kuwi susah  mung beda rupane wae
